Date,portfolio_value,daily_return,cumulative_return
2023-05-23,9892.867316430697,0.0,0.9990375800079249
2023-05-24,9892.867316430697,0.0,0.9990375800079249
2023-05-25,9892.867316430697,0.0,0.9990375800079249
2023-05-26,9892.867316430697,0.0,0.9990375800079249
2023-05-29,9892.867316430697,0.0,0.9990375800079249
2023-05-30,9892.867316430697,0.0,0.9990375800079249
2023-05-31,9892.867316430697,0.0,0.9990375800079249
2023-06-01,9892.867316430697,0.0,0.9990375800079249
2023-06-02,9892.867316430697,0.0,0.9990375800079249
2023-06-05,9892.867316430697,0.0,0.9990375800079249
2023-06-06,9892.867316430697,0.0,0.9990375800079249
2023-06-07,9892.867316430697,0.0,0.9990375800079249
2023-06-08,9892.867316430697,0.0,0.9990375800079249
2023-06-09,9892.867316430697,0.0,0.9990375800079249
2023-06-12,9892.867316430697,0.0,0.9990375800079249
2023-06-13,9892.867316430697,0.0,0.9990375800079249
2023-06-14,9892.867316430697,0.0,0.9990375800079249
2023-06-15,9892.867316430697,0.0,0.9990375800079249
2023-06-16,9892.867316430697,0.0,0.9990375800079249
2023-06-19,9892.867316430697,0.0,0.9990375800079249
2023-06-20,9892.867316430697,0.0,0.9990375800079249
2023-06-21,9892.867316430697,0.0,0.9990375800079249
2023-06-22,9892.867316430697,0.0,0.9990375800079249
2023-06-23,9892.867316430697,0.0,0.9990375800079249
2023-06-26,9892.867316430697,0.0,0.9990375800079249
2023-06-27,9892.867316430697,0.0,0.9990375800079249
2023-06-28,9892.867316430697,0.0,0.9990375800079249
2023-06-30,9892.867316430697,0.0,0.9990375800079249
2023-07-03,9892.867316430697,0.0,0.9990375800079249
2023-07-04,9892.867316430697,0.0,0.9990375800079249
2023-07-05,9892.867316430697,0.0,0.9990375800079249
2023-07-06,9892.867316430697,0.0,0.9990375800079249
2023-07-07,9892.867316430697,0.0,0.9990375800079249
2023-07-10,9892.867316430697,0.0,0.9990375800079249
2023-07-11,9892.867316430697,0.0,0.9990375800079249
2023-07-12,9892.867316430697,0.0,0.9990375800079249
2023-07-13,9892.867316430697,0.0,0.9990375800079249
2023-07-14,9892.867316430697,0.0,0.9990375800079249
2023-07-17,9892.867316430697,0.0,0.9990375800079249
2023-07-18,9892.867316430697,0.0,0.9990375800079249
2023-07-19,9892.867316430697,0.0,0.9990375800079249
2023-07-20,9892.867316430697,0.0,0.9990375800079249
2023-07-21,9892.867316430697,0.0,0.9990375800079249
2023-07-24,9892.867316430697,0.0,0.9990375800079249
2023-07-25,9892.867316430697,0.0,0.9990375800079249
2023-07-26,9892.867316430697,0.0,0.9990375800079249
2023-07-27,9892.867316430697,0.0,0.9990375800079249
2023-07-28,9892.867316430697,0.0,0.9990375800079249
2023-07-31,9892.867316430697,0.0,0.9990375800079249
2023-08-01,9892.867316430697,0.0,0.9990375800079249
2023-08-02,9892.867316430697,0.0,0.9990375800079249
2023-08-03,9892.867316430697,0.0,0.9990375800079249
2023-08-04,9892.867316430697,0.0,0.9990375800079249
2023-08-07,9892.867316430697,0.0,0.9990375800079249
2023-08-08,9892.867316430697,0.0,0.9990375800079249
2023-08-09,9892.867316430697,0.0,0.9990375800079249
2023-08-10,9892.867316430697,0.0,0.9990375800079249
2023-08-11,9892.867316430697,0.0,0.9990375800079249
2023-08-14,9892.867316430697,0.0,0.9990375800079249
2023-08-16,9892.867316430697,0.0,0.9990375800079249
2023-08-17,9892.867316430697,0.0,0.9990375800079249
2023-08-18,9892.867316430697,0.0,0.9990375800079249
2023-08-21,9892.867316430697,0.0,0.9990375800079249
2023-08-22,9892.867316430697,0.0,0.9990375800079249
2023-08-23,9892.867316430697,0.0,0.9990375800079249
2023-08-24,9892.867316430697,0.0,0.9990375800079249
2023-08-25,9892.867316430697,0.0,0.9990375800079249
2023-08-28,9892.867316430697,0.0,0.9990375800079249
2023-08-29,9892.867316430697,0.0,0.9990375800079249
2023-08-30,9892.867316430697,0.0,0.9990375800079249
2023-08-31,9892.867316430697,0.0,0.9990375800079249
2023-09-01,9892.867316430697,0.0,0.9990375800079249
